"theater","date","not_guilty","guilty"
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-08,138,104
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-09,130,94
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-11,137,116
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-12,150,92
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-13,127,91
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-14,138,97
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-15,138,104
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-16,127,113
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-21,162,74
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-22,131,115
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-23,121,103
"Det Kongelige Teater, Copenhagen",2017-04-19,104,44
"Det Kongelige Teater, Copenhagen",2017-04-20,116,55
"Det Kongelige Teater, Copenhagen",2017-04-21,91,85
"Det Kongelige Teater, Copenhagen",2017-04-22,92,91
"Det Kongelige Teater, Copenhagen",2017-04-26,142,42
"Det Kongelige Teater, Copenhagen",2017-04-27,95,73
"Det Kongelige Teater, Copenhagen",2017-04-28,113,75
"Det Kongelige Teater, Copenhagen",2017-04-29,117,74
"Det Kongelige Teater, Copenhagen",2017-05-03,119,44
"Det Kongelige Teater, Copenhagen",2017-05-04,92,95
"Det Kongelige Teater, Copenhagen",2017-05-05,104,80
"Det Kongelige Teater, Copenhagen",2017-05-06,104,78
"Det Kongelige Teater, Copenhagen",2017-05-10,91,54
"Det Kongelige Teater, Copenhagen",2017-05-11,84,105
"Det Kongelige Teater, Copenhagen",2017-05-12,91,88
"Det Kongelige Teater, Copenhagen",2017-05-13,99,80
"Det Kongelige Teater, Copenhagen",2017-05-17,131,53
"Det Kongelige Teater, Copenhagen",2017-05-18,97,91
"Det Kongelige Teater, Copenhagen",2017-05-19,107,86
"Det Kongelige Teater, Copenhagen",2017-05-20,103,74
"Det Kongelige Teater, Copenhagen",2017-05-24,82,91
"Det Kongelige Teater, Copenhagen",2017-05-25,113,78
"Det Kongelige Teater, Copenhagen",2017-05-26,104,85
"Det Kongelige Teater, Copenhagen",2017-05-27,99,85
"Det Kongelige Teater, Copenhagen",2017-06-01,108,91
"Det Kongelige Teater, Copenhagen",2017-06-02,86,110
"Deutsches Schauspielhaus, Hamburg",2016-04-07,306,238
"Deutsches Schauspielhaus, Hamburg",2016-04-18,405,374
"Deutsches Schauspielhaus, Hamburg",2016-05-14,404,326
"Deutsches Schauspielhaus, Hamburg",2016-06-29,512,275
"Deutsches Schauspielhaus, Hamburg",2016-07-01,443,251
"Deutsches Schauspielhaus, Hamburg",2016-07-10,482,302
"Deutsches Schauspielhaus, Hamburg",2016-10-22,501,379
"Deutsches Schauspielhaus, Hamburg",2016-10-29,379,361
"Deutsches Schauspielhaus, Hamburg",2016-11-16,534,297
"Deutsches Schauspielhaus, Hamburg",2016-12-14,347,224
"Deutsches Schauspielhaus, Hamburg",2016-12-16,205,109
"Deutsches Schauspielhaus, Hamburg",2017-01-13,480,305
"Deutsches Schauspielhaus, Hamburg",2017-02-18,253,218
"Deutsches Schauspielhaus, Hamburg",2017-03-03,397,183
"Deutsches Theater, Berlin",2015-10-03,255,207
"Deutsches Theater, Berlin",2015-10-06,224,214
"Deutsches Theater, Berlin",2015-10-16,243,223
"Deutsches Theater, Berlin",2015-10-22,270,207
"Deutsches Theater, Berlin",2015-11-05,256,209
"Deutsches Theater, Berlin",2015-11-10,233,246
"Deutsches Theater, Berlin",2015-11-25,263,207
"Deutsches Theater, Berlin",2015-12-03,230,238
"Deutsches Theater, Berlin",2015-12-14,238,247
"Deutsches Theater, Berlin",2015-12-28,264,223
"Deutsches Theater, Berlin",2016-01-08,243,229
"Deutsches Theater, Berlin",2016-01-12,264,196
"Deutsches Theater, Berlin",2016-01-24,246,247
"Deutsches Theater, Berlin",2016-02-11,278,217
"Deutsches Theater, Berlin",2016-02-16,250,223
"Deutsches Theater, Berlin",2016-03-18,260,214
"Deutsches Theater, Berlin",2016-03-24,247,225
"Deutsches Theater, Berlin",2016-04-14,282,198
"Deutsches Theater, Berlin",2016-04-26,279,223
"Deutsches Theater, Berlin",2016-05-20,270,196
"Deutsches Theater, Berlin",2016-06-01,317,154
"Deutsches Theater, Berlin",2016-07-01,213,220
"Deutsches Theater, Berlin",2016-07-17,297,202
"Deutsches Theater, Berlin",2016-09-25,286,192
"Deutsches Theater, Berlin",2016-10-05,283,104
"Deutsches Theater, Berlin",2016-10-17,310,180
"Deutsches Theater, Berlin",2016-11-02,244,112
"Deutsches Theater, Berlin",2016-11-03,116,67
"Deutsches Theater, Berlin",2016-11-12,240,224
"Deutsches Theater, Berlin",2016-11-15,173,255
"Deutsches Theater, Berlin",2016-11-22,245,210
"Deutsches Theater, Berlin",2016-12-07,277,167
"Deutsches Theater, Berlin",2017-01-01,266,178
"Deutsches Theater, Berlin",2017-01-17,259,209
"Deutsches Theater, Berlin",2017-01-18,277,174
"Deutsches Theater, Berlin",2017-02-14,277,165
"Deutsches Theater, Berlin",2017-02-21,222,197
"Deutsches Theater, Berlin",2017-03-10,251,116
"Deutsches Theater, Berlin",2017-03-11,245,134
"Deutsches Theater, Berlin",2017-03-15,223,194
"Deutsches Theater, Berlin",2017-03-29,280,168
"Deutsches Theater, Berlin",2017-05-04,204,113
"Deutsches Theater, Berlin",2017-05-07,270,210
"Deutsches Theater, Berlin",2017-06-02,103,96
"Deutsches Theater, Berlin",2017-07-14,195,109
"Deutsches Theater, Berlin",2017-09-29,139,78
"Deutsches Theater, Berlin",2017-10-05,224,107
"Deutsches Theater, Göttingen",2015-10-17,125,86
"Deutsches Theater, Göttingen",2015-10-22,122,91
"Deutsches Theater, Göttingen",2015-10-31,123,92
"Deutsches Theater, Göttingen",2015-11-27,138,73
"Deutsches Theater, Göttingen",2015-12-09,152,62
"Deutsches Theater, Göttingen",2015-12-16,149,68
"Deutsches Theater, Göttingen",2015-12-22,114,102
"Deutsches Theater, Göttingen",2015-12-30,147,93
"Deutsches Theater, Göttingen",2016-01-02,140,84
"Deutsches Theater, Göttingen",2016-01-28,169,68
"Deutsches Theater, Göttingen",2016-02-16,165,59
"Deutsches Theater, Göttingen",2016-02-22,199,48
"Deutsches Theater, Göttingen",2016-03-03,154,78
"Deutsches Theater, Göttingen",2016-03-07,142,84
"Deutsches Theater, Göttingen",2016-03-22,140,100
"Deutsches Theater, Göttingen",2016-04-07,134,102
"Deutsches Theater, Göttingen",2016-04-28,184,46
"Deutsches Theater, Göttingen",2016-05-04,138,94
"Deutsches Theater, Göttingen",2016-05-28,145,100
"Deutsches Theater, Göttingen",2016-06-17,150,49
"Deutsches Theater, Göttingen",2016-10-13,106,82
"Deutsches Theater, Göttingen",2016-11-25,138,101
"Deutsches Theater, Göttingen",2016-12-22,108,55
"Deutsches Theater, Göttingen",2017-01-07,123,129
"Deutsches Theater, Göttingen",2017-01-25,148,60
"Deutsches Theater, Göttingen",2017-02-16,144,91
"Deutsches Theater, Göttingen",2017-03-14,93,64
"Deutsches Theater, Göttingen",2017-04-03,152,67
"Deutsches Theater, Göttingen",2017-05-27,80,55
"Deutsches Theater, Göttingen",2017-06-01,49,29
"Deutsches Theater, Göttingen",2017-09-30,58,33
"Deutsches Theater, Göttingen",2017-10-13,74,35
"Deutsch-Sorbisches Volkstheater Bautzen",2016-09-22,47,57
"Deutsch-Sorbisches Volkstheater Bautzen",2016-09-29,58,44
"Deutsch-Sorbisches Volkstheater Bautzen",2016-10-13,52,53
"Deutsch-Sorbisches Volkstheater Bautzen",2016-10-18,44,56
"Deutsch-Sorbisches Volkstheater Bautzen",2016-11-03,59,42
"Deutsch-Sorbisches Volkstheater Bautzen",2016-11-08,62,44
"Deutsch-Sorbisches Volkstheater Bautzen",2016-11-18,72,27
"Deutsch-Sorbisches Volkstheater Bautzen",2016-12-17,65,39
"Deutsch-Sorbisches Volkstheater Bautzen",2017-01-12,62,34
"Deutsch-Sorbisches Volkstheater Bautzen",2017-01-22,67,37
"Deutsch-Sorbisches Volkstheater Bautzen",2017-01-24,67,33
"Deutsch-Sorbisches Volkstheater Bautzen",2017-02-12,68,34
"Deutsch-Sorbisches Volkstheater Bautzen",2017-02-28,60,39
"Deutsch-Sorbisches Volkstheater Bautzen",2017-03-16,42,24
"Deutsch-Sorbisches Volkstheater Bautzen",2017-03-21,56,28
"Deutsch-Sorbisches Volkstheater Bautzen",2017-04-06,71,31
"Düsseldorfer Schauspielhaus",2015-10-18,326,256
"Düsseldorfer Schauspielhaus",2015-10-20,320,244
"Düsseldorfer Schauspielhaus",2015-10-27,348,229
"Düsseldorfer Schauspielhaus",2015-11-02,330,269
"Düsseldorfer Schauspielhaus",2015-11-07,337,288
"Düsseldorfer Schauspielhaus",2015-11-15,341,257
"Düsseldorfer Schauspielhaus",2015-11-18,376,221
"Düsseldorfer Schauspielhaus",2015-11-21,331,277
"Düsseldorfer Schauspielhaus",2015-11-24,376,227
"Düsseldorfer Schauspielhaus",2015-12-03,361,257
"Düsseldorfer Schauspielhaus",2015-12-06,349,230
"Düsseldorfer Schauspielhaus",2015-12-17,337,225
"Düsseldorfer Schauspielhaus",2015-12-21,318,296
"Düsseldorfer Schauspielhaus",2015-12-30,317,302
"Düsseldorfer Schauspielhaus",2016-01-23,197,196
"Düsseldorfer Schauspielhaus",2016-01-25,222,146
"Düsseldorfer Schauspielhaus",2016-01-26,240,169
"Düsseldorfer Schauspielhaus",2016-01-27,203,174
"Düsseldorfer Schauspielhaus",2016-01-31,219,161
"Düsseldorfer Schauspielhaus",2016-02-03,217,165
"Düsseldorfer Schauspielhaus",2016-02-06,215,182
"Düsseldorfer Schauspielhaus",2016-02-10,210,168
"Düsseldorfer Schauspielhaus",2016-02-11,307,78
"Düsseldorfer Schauspielhaus",2016-02-22,217,171
"Düsseldorfer Schauspielhaus",2016-02-27,201,192
"Düsseldorfer Schauspielhaus",2016-02-28,225,162
"Düsseldorfer Schauspielhaus",2016-03-03,238,136
"Düsseldorfer Schauspielhaus",2016-03-08,239,131
"Düsseldorfer Schauspielhaus",2016-03-10,236,142
"Düsseldorfer Schauspielhaus",2016-03-21,232,132
"Düsseldorfer Schauspielhaus",2016-03-23,236,143
"Düsseldorfer Schauspielhaus",2016-03-24,228,154
"Düsseldorfer Schauspielhaus",2016-03-28,210,169
"Düsseldorfer Schauspielhaus",2016-03-30,221,167
"Düsseldorfer Schauspielhaus",2016-04-02,219,164
"Düsseldorfer Schauspielhaus",2016-04-07,236,165
"Düsseldorfer Schauspielhaus",2016-04-09,224,165
"Düsseldorfer Schauspielhaus",2016-04-10,220,140
"Düsseldorfer Schauspielhaus",2016-04-19,212,149
"Düsseldorfer Schauspielhaus",2016-04-27,222,131
"Düsseldorfer Schauspielhaus",2016-05-05,246,133
"Düsseldorfer Schauspielhaus",2016-05-08,250,115
"Düsseldorfer Schauspielhaus",2016-05-12,245,115
"Düsseldorfer Schauspielhaus",2016-05-14,233,149
"Düsseldorfer Schauspielhaus",2016-05-16,244,203
"Düsseldorfer Schauspielhaus",2016-05-26,245,146
"Düsseldorfer Schauspielhaus",2016-05-27,215,154
"Düsseldorfer Schauspielhaus",2016-05-30,219,177
"Düsseldorfer Schauspielhaus",2016-06-02,214,148
"Düsseldorfer Schauspielhaus",2016-06-08,274,125
"Düsseldorfer Schauspielhaus",2016-09-28,220,163
"Düsseldorfer Schauspielhaus",2016-10-10,217,167
"Düsseldorfer Schauspielhaus",2016-10-20,201,153
"Düsseldorfer Schauspielhaus",2016-10-31,213,155
"Düsseldorfer Schauspielhaus",2016-11-01,223,161
"Düsseldorfer Schauspielhaus",2016-11-04,197,179
"Düsseldorfer Schauspielhaus",2016-11-18,214,168
"Düsseldorfer Schauspielhaus",2016-11-29,247,109
"Düsseldorfer Schauspielhaus",2016-12-08,177,124
"Düsseldorfer Schauspielhaus",2016-12-14,222,112
"Düsseldorfer Schauspielhaus",2016-12-22,198,114
"Düsseldorfer Schauspielhaus",2017-01-26,206,115
"Düsseldorfer Schauspielhaus",2017-01-27,234,112
"Düsseldorfer Schauspielhaus",2017-02-08,256,124
"Düsseldorfer Schauspielhaus",2017-02-09,231,123
"Düsseldorfer Schauspielhaus",2017-03-01,140,88
"Düsseldorfer Schauspielhaus",2017-03-02,167,133
"Düsseldorfer Schauspielhaus",2017-04-15,152,122
"Düsseldorfer Schauspielhaus",2017-05-24,167,89
"Düsseldorfer Schauspielhaus",2017-05-26,113,89
"Düsseldorfer Schauspielhaus",2017-06-09,110,78
"Düsseldorfer Schauspielhaus",2017-06-21,115,71
"Düsseldorfer Schauspielhaus",2017-10-11,141,124
"Hans Otto Theater",2016-10-17,79,56
"Hans Otto Theater",2016-10-22,79,73
"Hans Otto Theater",2016-10-29,87,58
"Hans Otto Theater",2016-10-30,65,26
"Hans Otto Theater",2016-11-01,102,28
"Hans Otto Theater",2016-11-13,73,59
"Hans Otto Theater",2016-11-25,91,57
"Hans Otto Theater",2016-12-15,90,59
"Hans Otto Theater",2016-12-22,117,34
"Hans Otto Theater",2016-12-28,90,58
"Hans Otto Theater",2017-01-07,79,67
"Hans Otto Theater",2017-01-08,71,44
"Hans Otto Theater",2017-01-28,78,44
"Hans Otto Theater",2017-02-11,78,52
"Hans Otto Theater",2017-02-23,94,24
"Hans Otto Theater",2017-03-05,54,32
"Hans Otto Theater",2017-03-24,100,35
"Hans Otto Theater",2017-04-01,101,34
"Hans Otto Theater",2017-04-23,23,12
"Hans Otto Theater",2017-05-19,27,9
"Hans Otto Theater",2017-05-28,82,19
"Hans Otto Theater",2017-10-11,182,49
"Hans Otto Theater",2017-10-17,100,31
"Hessisches Staatstheater Wiesbaden",2017-02-09,66,73
"Hessisches Staatstheater Wiesbaden",2017-02-15,92,41
"Hessisches Staatstheater Wiesbaden",2017-03-11,75,66
"Hessisches Staatstheater Wiesbaden",2017-03-17,86,29
"Hessisches Staatstheater Wiesbaden",2017-03-19,77,52
"Hessisches Staatstheater Wiesbaden",2017-04-15,38,27
"Hessisches Staatstheater Wiesbaden",2017-04-22,85,54
"Hessisches Staatstheater Wiesbaden",2017-05-05,63,46
"Hessisches Staatstheater Wiesbaden",2017-05-23,58,35
"Hessisches Staatstheater Wiesbaden",2017-06-02,35,31
"Hyogo Performing Arts Center",2016-08-20,150,225
"Hyogo Performing Arts Center",2016-08-21,137,181
"Innsbrucker Kellertheater",2017-09-28,37,32
"Innsbrucker Kellertheater",2017-09-29,41,25
"Innsbrucker Kellertheater",2017-09-30,49,25
"Innsbrucker Kellertheater",2017-10-03,60,20
"Innsbrucker Kellertheater",2017-10-04,36,25
"Innsbrucker Kellertheater",2017-10-05,24,19
"Innsbrucker Kellertheater",2017-10-06,36,25
"Innsbrucker Kellertheater",2017-10-07,36,26
"Innsbrucker Kellertheater",2017-10-10,28,11
"Innsbrucker Kellertheater",2017-10-11,30,13
"Innsbrucker Kellertheater",2017-10-12,51,17
"Innsbrucker Kellertheater",2017-10-13,51,23
"Innsbrucker Kellertheater",2017-10-14,48,23
"Innsbrucker Kellertheater",2017-10-17,40,23
"Innsbrucker Kellertheater",2017-10-18,43,30
"Innsbrucker Kellertheater",2017-10-19,57,20
"Innsbrucker Kellertheater",2017-10-20,46,27
"Innsbrucker Kellertheater",2017-10-21,35,12
"Katona Jozsef Theater, Budapest",2016-10-08,61,40
"Katona Jozsef Theater, Budapest",2016-10-09,70,23
"Katona Jozsef Theater, Budapest",2016-10-13,63,38
"Katona Jozsef Theater, Budapest",2016-10-19,60,45
"Katona Jozsef Theater, Budapest",2016-10-24,67,36
"Katona Jozsef Theater, Budapest",2016-11-03,56,49
"Katona Jozsef Theater, Budapest",2016-11-07,72,31
"Katona Jozsef Theater, Budapest",2016-11-12,72,31
"Katona Jozsef Theater, Budapest",2016-11-12,59,46
"Katona Jozsef Theater, Budapest",2016-11-23,65,45
"Katona Jozsef Theater, Budapest",2016-12-01,73,31
"Katona Jozsef Theater, Budapest",2016-12-07,63,35
"Katona Jozsef Theater, Budapest",2016-12-09,72,26
"Katona Jozsef Theater, Budapest",2016-12-27,59,37
"Katona Jozsef Theater, Budapest",2016-12-27,67,39
"Katona Jozsef Theater, Budapest",2017-01-02,62,43
"Katona Jozsef Theater, Budapest",2017-01-13,57,44
"Katona Jozsef Theater, Budapest",2017-01-19,58,34
"Katona Jozsef Theater, Budapest",2017-01-28,58,42
"Katona Jozsef Theater, Budapest",2017-01-28,66,34
"Katona Jozsef Theater, Budapest",2017-02-01,65,33
"Katona Jozsef Theater, Budapest",2017-02-10,55,44
"Katona Jozsef Theater, Budapest",2017-02-15,70,30
"Katona Jozsef Theater, Budapest",2017-02-23,56,47
"Katona Jozsef Theater, Budapest",2017-03-04,59,42
"Katona Jozsef Theater, Budapest",2017-03-26,71,31
"Katona Jozsef Theater, Budapest",2017-03-26,59,43
"Katona Jozsef Theater, Budapest",2017-04-02,64,33
"Katona Jozsef Theater, Budapest",2017-04-02,60,30
"Katona Jozsef Theater, Budapest",2017-04-20,65,38
"Katona Jozsef Theater, Budapest",2017-04-25,59,50
"Katona Jozsef Theater, Budapest",2017-05-05,61,42
"Katona Jozsef Theater, Budapest",2017-05-14,52,45
"Katona Jozsef Theater, Budapest",2017-05-14,64,36
"Katona Jozsef Theater, Budapest",2017-06-01,67,31
"Katona Jozsef Theater, Budapest",2017-06-17,65,38
"Katona Jozsef Theater, Budapest",2017-06-18,65,40
"Katona Jozsef Theater, Budapest",2017-06-18,60,44
"Katona Jozsef Theater, Budapest",2017-06-24,73,32
"Katona Jozsef Theater, Budapest",2017-06-25,72,31
"Katona Jozsef Theater, Budapest",2017-09-08,61,39
"Katona Jozsef Theater, Budapest",2017-09-09,59,45
"Katona Jozsef Theater, Budapest",2017-10-16,66,35
"Konzertdirektion Landgraf",2016-09-22,233,140
"Konzertdirektion Landgraf",2016-09-23,189,165
"Konzertdirektion Landgraf",2016-09-24,147,59
"Konzertdirektion Landgraf",2016-09-25,178,55
"Konzertdirektion Landgraf",2016-09-26,288,142
"Konzertdirektion Landgraf",2016-09-27,237,105
"Konzertdirektion Landgraf",2016-09-28,223,82
"Konzertdirektion Landgraf",2016-09-29,114,55
"Konzertdirektion Landgraf",2016-10-01,190,156
"Konzertdirektion Landgraf",2016-10-03,183,138
"Konzertdirektion Landgraf",2016-10-04,163,96
"Konzertdirektion Landgraf",2016-10-05,347,120
"Konzertdirektion Landgraf",2016-10-06,257,183
"Konzertdirektion Landgraf",2016-10-07,213,187
"Konzertdirektion Landgraf",2016-10-08,165,83
"Konzertdirektion Landgraf",2016-10-09,323,148
"Konzertdirektion Landgraf",2016-10-11,330,211
"Konzertdirektion Landgraf",2016-10-12,156,85
"Konzertdirektion Landgraf",2016-10-13,200,88
"Konzertdirektion Landgraf",2016-10-14,301,145
"Konzertdirektion Landgraf",2016-10-16,237,127
"Konzertdirektion Landgraf",2016-10-17,175,111
"Konzertdirektion Landgraf",2016-10-18,246,112
"Konzertdirektion Landgraf",2016-10-18,246,112
"Konzertdirektion Landgraf",2016-10-19,235,111
"Konzertdirektion Landgraf",2016-10-20,375,125
"Konzertdirektion Landgraf",2016-10-22,167,146
"Konzertdirektion Landgraf",2016-10-23,174,143
"Konzertdirektion Landgraf",2016-10-24,149,83
"Konzertdirektion Landgraf",2016-10-24,282,80
"Konzertdirektion Landgraf",2016-10-25,309,208
"Konzertdirektion Landgraf",2016-10-26,226,84
"Konzertdirektion Landgraf",2016-10-27,208,77
"Konzertdirektion Landgraf",2016-10-28,223,325
"Konzertdirektion Landgraf",2016-10-29,392,157
"Konzertdirektion Landgraf",2016-10-30,324,243
"Konzertdirektion Landgraf",2016-10-31,307,144
"Konzertdirektion Landgraf",2016-11-02,163,155
"Konzertdirektion Landgraf",2016-11-03,117,48
"Konzertdirektion Landgraf",2016-11-04,214,118
"Konzertdirektion Landgraf",2016-11-05,137,54
"Konzertdirektion Landgraf",2016-11-06,165,154
"Konzertdirektion Landgraf",2016-11-07,137,54
"Konzertdirektion Landgraf",2016-11-08,235,157
"Konzertdirektion Landgraf",2016-11-09,266,154
"Konzertdirektion Landgraf",2016-11-10,268,83
"Konzertdirektion Landgraf",2016-11-11,227,91
"Konzertdirektion Landgraf",2016-11-12,328,194
"Konzertdirektion Landgraf",2016-11-13,242,125
"Konzertdirektion Landgraf",2016-11-14,218,133
"Konzertdirektion Landgraf",2016-11-15,279,177
"Konzertdirektion Landgraf",2016-11-16,302,96
"Konzertdirektion Landgraf",2016-11-17,333,124
"Konzertdirektion Landgraf",2016-11-18,173,134
"Konzertdirektion Landgraf",2016-11-19,412,189
"Konzertdirektion Landgraf",2016-11-21,247,171
"Konzertdirektion Landgraf",2016-11-22,272,127
"Konzertdirektion Landgraf",2016-11-23,323,114
"Konzertdirektion Landgraf",2016-11-24,375,185
"Konzertdirektion Landgraf",2016-11-25,169,83
"Konzertdirektion Landgraf",2016-11-27,283,93
"Konzertdirektion Landgraf",2016-11-28,249,166
"Konzertdirektion Landgraf",2016-11-29,186,69
"Konzertdirektion Landgraf",2016-11-30,416,141
"Konzertdirektion Landgraf",2016-12-01,130,73
"Konzertdirektion Landgraf",2016-12-02,194,134
"Konzertdirektion Landgraf",2016-12-03,114,59
"Konzertdirektion Landgraf",2016-12-05,154,96
"Konzertdirektion Landgraf",2016-12-06,185,102
"Konzertdirektion Landgraf",2016-12-07,308,154
"Konzertdirektion Landgraf",2016-12-08,121,74
"Konzertdirektion Landgraf",2016-12-09,111,51
"Konzertdirektion Landgraf",2016-12-10,197,116
"Konzertdirektion Landgraf",2016-12-11,174,101
"Konzertdirektion Landgraf",2016-12-12,125,81
